date,category,event,metric
2024-12-18,Announcement,"President-elect Mahama announces the ORAL taskforce, ahead of his Jan 7 2025 inauguration.",
2025-01-07,Announcement,John Mahama sworn in as President; ORAL becomes an active government initiative.,
2025-02-10,Report Submitted,"ORAL Committee (chaired by Sam Okudzeto Ablakwa) formally presents its report to the President, citing 2,417 complaints received (1,493 phone calls, 924 emails) and identifying up to $21.19 billion in 'potential recoveries' for further investigation.",2417.0
2025-03-01,Presidential Update,"In his first State of the Nation Address, President Mahama references ORAL, citing over 2,000 complaints received and a comprehensive report handed to the Attorney-General; cites the Skytrain ($2M) and National Service 'ghost names' cases as the first prosecutions.",2000.0
2025-10-20,Process Update,"Deputy Attorney-General Justice Srem-Sai confirms the AG's office has written to the Office of the Special Prosecutor requesting case files, partly to support the Ken Ofori-Atta extradition process.",
2025-12-22,Prosecution Announced,"Attorney-General Dr. Dominic Ayine publicly names two ORAL cases proceeding to prosecution: Bernard Antwi Boasiako ('Chairman Wontumi', NPP Ashanti Regional Chairman) over an alleged GH¢18-24.2M Exim Bank fraud, and Percival Kofi Akpaloo (Liberal Party leader) over an alleged GH¢3.17M COCOBOD diversion. Warns state institutions against delaying case-relevant information.",2.0
2026-01-07,Process Update,"Former Finance Minister Ken Ofori-Atta, wanted on ORAL-linked corruption charges, is detained by immigration agents in the United States.",
2026-02-28,Presidential Update,"In his second State of the Nation Address, President Mahama notably does not mention ORAL by name, though he references public impatience with the initiative's pace. Commentators describe this as a marked shift from the prior year's speech.",
2026-03-01,Public Criticism,"The Ghana Federation of Labour (a trade union body) publicly calls on government to 'fast-track' ORAL, arguing the fight against corruption 'must move beyond rhetoric.'",
2026-06-11,Process Update,Deputy Attorney-General Dr. Justice Srem-Sai announces approximately 30 ORAL-linked cases have been assessed as viable for prosecution after evidence review; the Skytrain case is confirmed closed after the accused failed to file witness statements.,30.0
2026-08-14,Institutional Defense,"Attorney-General Dr. Ayine states 34 ORAL-linked dockets have completed investigation with preliminary findings made, with several being prepared for court filing. He explicitly denies the initiative targets political opponents, describing the cases as 'watertight.'",34.0
